run_id,topic_id,platform,title,keyword,structure_slot,lead_slot,rhythm_slot,style_slot,ending_slot,transition_signature,avg_sentence_length,paragraph_count,penalty_structure,penalty_rhythm,penalty_style,penalty_transition,penalty_ending,penalty_duplication_soft,total_penalty,best_similarity_score,best_structural_score,decision,decision_reason,rewrite_attempt,article_source,api_elapsed_seconds,attempt_elapsed_seconds,created_at
2026-05-12_4,20260512_blogspot_kr_009_powerpoint기본글꼴설정,blogspot_kr,powerpoint 기본 글꼴 설정 제대로 설정하는 방법,powerpoint 기본 글꼴 설정,workflow_playbook,workflow_playbook_lead_1,standard,field_note,conclusion_1,scope_first,61.7,92,0,0,0,0,0,0,0,0.3404,0.3459,accepted,no major diversity concentration detected,1,local,0.002,0.018,2026-05-12 15:59:28
2026-05-12_4,20260512_tistory_010_아웃룩오류날때방법,tistory,아웃룩 오류날 때 방법 원인과 해결 방법,아웃룩 오류날 때 방법,problem_solution,problem_solution_lead_2,action_first,field_note,conclusion_2,scope_first,60.33,79,0,0,12,8,0,0,20,0.4086,0.4123,accepted,style slot repeated in recent outputs; transition signature repeated,1,local,0.001,0.034,2026-05-12 15:59:28
2026-05-12_4,20260512_blogspot_kr_011_원드라이브오류해결방법,blogspot_kr,원드라이브 오류 해결방법 원인과 해결 방법,원드라이브 오류 해결방법,problem_solution,problem_solution_lead_2,action_first,operator_brief,conclusion_2,scope_first,60.18,79,15,10,0,8,18,0,51,0.4942,0.431,accepted,same structure slot as previous output; same rhythm slot as previous output; transition signature repeated; ending slot repeated; same structure and ending pairing repeated,1,local,0.001,0.048,2026-05-12 15:59:28
2026-05-12_4,20260512_tistory_012_onedrive설정안열림,tistory,onedrive 설정 안 열림 제대로 설정하는 방법,onedrive 설정 안 열림,problem_solution,problem_solution_lead_1,standard,field_note,conclusion_1,scope_first,60.5,87,25,0,12,8,0,0,45,0.4407,0.4136,accepted,same structure slot as previous output; structure slot concentrated in recent outputs; style slot repeated in recent outputs; transition signature repeated,1,local,0.067,0.154,2026-05-12 15:59:28
2026-05-12_5,20260512_naver_001_onenote해결방법,naver,one note 해결방법 원인과 해결 방법,one note 해결방법,problem_solution,problem_solution_lead_3,standard,operator_brief,conclusion_3,handoff_first,59.68,83,0,0,0,0,0,0,0,0.4591,0.4084,accepted,no major diversity concentration detected,1,local,0.003,0.017,2026-05-12 15:59:51
2026-05-12_5,20260512_naver_002_엑셀com애드인비활성화로충돌오류잡기,naver,엑셀 COM 애드인 비활성화로 충돌 오류 잡기 원인과 해결 방법,엑셀 COM 애드인 비활성화로 충돌 오류 잡기,problem_solution,problem_solution_lead_3,action_first,operator_brief,conclusion_3,handoff_first,60.5,83,15,0,12,8,18,0,53,0.4032,0.4116,accepted,same structure slot as previous output; style slot repeated in recent outputs; transition signature repeated; ending slot repeated; same structure and ending pairing repeated,1,local,0.001,0.03,2026-05-12 15:59:52
2026-05-12_5,20260512_naver_004_word에문제가발생했습니다,naver,word 에 문제 가 발생 했습니다 사용할 때 알아야 할 것,word 에 문제 가 발생 했습니다,problem_solution,problem_solution_lead_3,standard,operator_brief,conclusion_3,handoff_first,60.71,83,25,0,12,8,18,0,63,0.4125,0.4609,accepted,same structure slot as previous output; structure slot concentrated in recent outputs; style slot repeated in recent outputs; transition signature repeated; ending slot repeated; same structure and ending pairing repeated,1,local,0.001,0.085,2026-05-12 15:59:52
2026-05-12_5,20260512_naver_003_word오류책갈피가정의되어있지않습니다,naver,word 오류 책갈피가 정의되어 있지 않습니다 원인과 해결 방법,word 오류 책갈피가 정의되어 있지 않습니다,problem_solution,problem_solution_lead_3,action_first,operator_brief,conclusion_3,handoff_first,60.6,83,25,10,12,8,18,0,73,0.44,0.4513,quality_penalty,same structure slot as previous output; structure slot concentrated in recent outputs; same rhythm slot as previous output; style slot repeated in recent outputs; transition signature repeated; ending slot repeated; same structure and ending pairing repeated,1,local,0.001,0.045,2026-05-12 15:59:52
2026-05-12_5,20260512_naver_003_word오류책갈피가정의되어있지않습니다,naver,word 오류 책갈피가 정의되어 있지 않습니다 원인과 해결 방법,word 오류 책갈피가 정의되어 있지 않습니다,workflow_playbook,workflow_playbook_lead_1,standard,coaching_mode,conclusion_1,review_first,61.51,92,0,10,0,0,0,0,10,0.2736,0.3687,accepted,same rhythm slot as previous output,2,local,0.001,0.325,2026-05-12 15:59:53
2026-05-12_1,20260512_blogspot_kr_005_word콘텐츠에문제가발견되어,blogspot_kr,word 콘텐츠에 문제가 발견되어 사용할 때 알아야 할 것,word 콘텐츠에 문제가 발견되어,problem_solution,problem_solution_lead_1,action_first,field_note,conclusion_1,handoff_first,61.41,87,0,0,0,0,0,0,0,0.0281,0.0,accepted,no major diversity concentration detected,1,local,0.002,0.017,2026-05-12 16:07:03
2026-05-12_1,20260512_tistory_006_워드안전모드실행하고문제진단하기,tistory,워드 안전 모드 실행하고 문제 진단하기 사용할 때 알아야 할 것,워드 안전 모드 실행하고 문제 진단하기,problem_solution,problem_solution_lead_2,action_first,operator_brief,conclusion_2,scope_first,61.4,79,15,10,0,0,0,0,25,0.3848,0.4322,accepted,same structure slot as previous output; same rhythm slot as previous output,1,local,0.001,0.032,2026-05-12 16:07:03
2026-05-12_1,20260512_blogspot_kr_007_비즈니스ppt문제점제시후실행계획제안하,blogspot_kr,비즈니스 PPT 문제점 제시 후 실행 계획 제안하는 법 사용할 때 알아야 할 것,비즈니스 PPT 문제점 제시 후 실행 계획 제안하는 법,workflow_playbook,workflow_playbook_lead_1,standard,operator_brief,conclusion_1,handoff_first,62.92,92,0,0,12,8,0,0,20,0.2164,0.2934,accepted,style slot repeated in recent outputs; transition signature repeated,1,local,0.001,0.046,2026-05-12 16:07:04
2026-05-12_1,20260512_blogspot_kr_008_cadconnectexcel오류,blogspot_kr,cad connect excel 오류 원인과 해결 방법,cad connect excel 오류,decision_guide,decision_guide_lead_3,standard,operator_brief,conclusion_3,handoff_first,60.66,83,0,10,12,8,0,0,30,0.2458,0.3149,accepted,same rhythm slot as previous output; style slot repeated in recent outputs; transition signature repeated,1,local,0.024,0.113,2026-05-12 16:07:04
2026-05-12_2,20260512_blogspot_kr_009_unityplayerdll오류,blogspot_kr,unity player dll 오류 원인과 해결 방법,unity player dll 오류,problem_solution,problem_solution_lead_3,standard,operator_brief,conclusion_3,handoff_first,62.27,83,0,0,0,0,0,0,0,0.265,0.3354,accepted,no major diversity concentration detected,1,local,0.003,0.026,2026-05-12 16:07:32
2026-05-12_2,20260512_tistory_010_microsoft365설치오류,tistory,microsoft 365 설치 오류 원인과 해결 방법,microsoft 365 설치 오류,problem_solution,problem_solution_lead_3,action_first,operator_brief,conclusion_3,handoff_first,60.66,83,15,0,12,8,18,0,53,0.3296,0.3795,accepted,same structure slot as previous output; style slot repeated in recent outputs; transition signature repeated; ending slot repeated; same structure and ending pairing repeated,1,local,0.002,0.04,2026-05-12 16:07:32
2026-05-12_2,20260512_tistory_011_microsoft365구독에문제가발생,tistory,Microsoft 365 구독에 문제가 발생했으며 사용할 때 알아야 할 것,Microsoft 365 구독에 문제가 발생했으며,problem_solution,problem_solution_lead_1,standard,field_note,conclusion_1,scope_first,61.83,87,25,0,0,0,0,0,25,0.3725,0.4215,accepted,same structure slot as previous output; structure slot concentrated in recent outputs,1,local,0.001,0.056,2026-05-12 16:07:32
2026-05-12_2,20260512_tistory_012_워드오류참조원본을찾을수없습니다,tistory,워드 오류 참조 원본을 찾을 수 없습니다 원인과 해결 방법,워드 오류 참조 원본을 찾을 수 없습니다,problem_solution,problem_solution_lead_1,action_first,operator_brief,conclusion_1,handoff_first,61.46,87,25,0,12,8,18,0,63,0.5118,0.5327,accepted,same structure slot as previous output; structure slot concentrated in recent outputs; style slot repeated in recent outputs; transition signature repeated; ending slot repeated; same structure and ending pairing repeated,1,local,0.065,0.164,2026-05-12 16:07:32
2026-05-12_3,20260512_naver_001_워드오류로인해내보내지못했습니다,naver,워드 오류로 인해 내보내지 못했습니다 원인과 해결 방법,워드 오류로 인해 내보내지 못했습니다,problem_solution,problem_solution_lead_3,standard,operator_brief,conclusion_3,handoff_first,60.23,83,0,0,0,0,0,0,0,0.3742,0.4267,accepted,no major diversity concentration detected,1,local,0.002,0.016,2026-05-12 16:08:50
2026-05-12_3,20260512_naver_002_powerpoint저장중오류가발생했습,naver,powerpoint 저장 중 오류가 발생했습니다 원인과 해결 방법,powerpoint 저장 중 오류가 발생했습니다,problem_solution,problem_solution_lead_1,action_first,field_note,conclusion_1,scope_first,62.03,87,15,0,0,0,0,0,15,0.2984,0.3452,accepted,same structure slot as previous output,1,local,0.001,0.032,2026-05-12 16:08:50
2026-05-12_3,20260512_naver_003_powerpoint동영상재생안됨,naver,powerpoint 동영상 재생 안됨 원인과 해결 방법,powerpoint 동영상 재생 안됨,problem_solution,problem_solution_lead_2,action_first,field_note,conclusion_2,scope_first,61.77,79,25,10,12,8,0,0,55,0.35,0.3761,accepted,same structure slot as previous output; structure slot concentrated in recent outputs; same rhythm slot as previous output; style slot repeated in recent outputs; transition signature repeated,1,local,0.001,0.046,2026-05-12 16:08:50
2026-05-12_3,20260512_naver_004_powerpoint내용에문제가있습니다,naver,powerpoint 내용 에 문제 가 있습니다 사용할 때 알아야 할 것,powerpoint 내용 에 문제 가 있습니다,problem_solution,problem_solution_lead_3,standard,field_note,conclusion_3,scope_first,61.28,83,25,0,12,8,0,0,45,0.4537,0.4592,accepted,same structure slot as previous output; structure slot concentrated in recent outputs; style slot repeated in recent outputs; transition signature repeated,1,local,0.165,0.254,2026-05-12 16:08:51
2026-05-12_4,20260512_blogspot_kr_001_ai를활용한ppt만들기,blogspot_kr,ai를 활용한 ppt 만들기 시작 전 꼭 확인해야 할 것 정리,ai를 활용한 ppt 만들기,checklist_review,checklist_review_lead_2,action_first,operator_brief,conclusion_1,handoff_first,56.13,81,0,0,0,0,0,0,0,0.1877,0.2586,accepted,no major diversity concentration detected,1,local,0.002,0.017,2026-05-12 16:18:21
2026-05-12_4,20260512_tistory_002_vscode유니티설정,tistory,vscode 유니티 설정 차이점과 선택 기준 정리,vscode 유니티 설정,checklist_review,checklist_review_lead_1,action_first,field_note,conclusion_1,scope_first,56.37,81,15,10,0,0,18,0,43,0.2654,0.345,accepted,same structure slot as previous output; same rhythm slot as previous output; ending slot repeated; same structure and ending pairing repeated,1,local,0.001,0.033,2026-05-12 16:18:21
2026-05-12_4,20260512_naver_003_git브랜치충돌발생시실무해결팁,naver,Git 브랜치 충돌 발생 시 실무 해결 팁 원인과 해결 방법,Git 브랜치 충돌 발생 시 실무 해결 팁,problem_solution,problem_solution_lead_2,standard,field_note,conclusion_2,handoff_first,61.69,79,0,0,12,8,0,0,20,0.4397,0.4356,accepted,style slot repeated in recent outputs; transition signature repeated,1,local,0.001,0.048,2026-05-12 16:18:21
2026-05-12_4,20260512_naver_004_3m모델로ppt문제원인분석하는사용법,naver,3M 모델로 PPT 문제 원인 분석하는 사용법 원인과 해결 방법,3M 모델로 PPT 문제 원인 분석하는 사용법,checklist_review,checklist_review_lead_1,standard,field_note,conclusion_3,scope_first,55.38,77,10,10,12,8,0,0,40,0.418,0.4134,accepted,structure slot concentrated in recent outputs; same rhythm slot as previous output; style slot repeated in recent outputs; transition signature repeated,1,local,0.115,0.207,2026-05-12 16:18:21
2026-05-12_5,20260512_naver_005_ppt트러스트센터설정으로보안오류해결하,naver,PPT 트러스트 센터 설정으로 보안 오류 해결하기 원인과 해결 방법,PPT 트러스트 센터 설정으로 보안 오류 해결하기,problem_solution,problem_solution_lead_1,standard,field_note,conclusion_1,scope_first,62.23,87,0,0,0,0,0,0,0,0.5475,0.5478,accepted,no major diversity concentration detected,1,local,0.002,0.027,2026-05-12 16:18:45
2026-05-12_5,20260512_blogspot_kr_006_vpn초보자가입부터설정까지단계별사용법,blogspot_kr,VPN 초보자 가입부터 설정까지 단계별 사용법 언제 쓰고 언제 멈춰야 하나,VPN 초보자 가입부터 설정까지 단계별 사용법,decision_guide,decision_guide_lead_2,action_first,operator_brief,conclusion_2,handoff_first,61.77,79,0,0,0,0,0,0,0,0.4272,0.4492,accepted,no major diversity concentration detected,1,local,0.001,0.042,2026-05-12 16:18:46
2026-05-12_5,20260512_naver_007_셀병합문제해결하고보고서만들기,naver,셀 병합 문제 해결하고 보고서 만들기 원인과 해결 방법,셀 병합 문제 해결하고 보고서 만들기,problem_solution,problem_solution_lead_3,standard,field_note,conclusion_3,scope_first,60.76,83,0,0,12,8,0,0,20,0.4691,0.4793,accepted,style slot repeated in recent outputs; transition signature repeated,1,local,0.001,0.056,2026-05-12 16:18:46
2026-05-12_5,20260512_blogspot_kr_008_unityvscode자동완성안됨,blogspot_kr,unity vscode 자동완성 안됨 원인과 해결 방법,unity vscode 자동완성 안됨,problem_solution,problem_solution_lead_2,action_first,field_note,conclusion_2,handoff_first,62.38,79,25,0,12,8,0,0,45,0.3242,0.3587,accepted,same structure slot as previous output; structure slot concentrated in recent outputs; style slot repeated in recent outputs; transition signature repeated,1,local,0.086,0.187,2026-05-12 16:18:46
2026-05-12_1,20260512_naver_001_microsoft365copilot오,naver,microsoft 365 copilot 오류 원인과 해결 방법,microsoft 365 copilot 오류,problem_solution,problem_solution_lead_3,standard,operator_brief,conclusion_3,handoff_first,61.14,83,0,0,0,0,0,0,0,0.0292,0.0,accepted,no major diversity concentration detected,1,local,0.001,0.017,2026-05-12 16:21:56
2026-05-12_1,20260512_tistory_002_microsoftteams정리,tistory,Microsoft Teams 정리 실무에서 바로 쓰는 방법,Microsoft Teams 정리,checklist_review,checklist_review_lead_2,action_first,operator_brief,conclusion_2,scope_first,55.38,73,0,0,12,0,0,0,12,0.0765,0.0,accepted,style slot repeated in recent outputs,1,local,0.001,0.036,2026-05-12 16:21:56
2026-05-12_1,20260512_tistory_003_microsoftteams활용,tistory,microsoft teams 활용 실무에서 바로 쓰는 방법,microsoft teams 활용,checklist_review,checklist_review_lead_1,standard,field_note,conclusion_3,scope_first,54.71,77,15,0,0,8,0,0,23,0.4143,0.3899,accepted,same structure slot as previous output; transition signature repeated,1,local,0.001,0.05,2026-05-12 16:21:56
2026-05-12_1,20260512_tistory_004_vscode파이썬설정,tistory,vscode 파이썬 설정 차이점과 선택 기준 정리,vscode 파이썬 설정,problem_solution,problem_solution_lead_3,action_first,operator_brief,conclusion_3,handoff_first,59.69,83,0,0,12,0,8,0,20,0.4555,0.4236,accepted,style slot repeated in recent outputs; ending slot repeated,1,local,0.002,0.065,2026-05-12 16:21:57
2026-05-12_2,20260512_naver_006_3m모델로ppt문제원인분석하는사용법,naver,3M 모델로 PPT 문제 원인 분석하는 사용법 원인과 해결 방법,3M 모델로 PPT 문제 원인 분석하는 사용법,checklist_review,checklist_review_lead_1,standard,operator_brief,conclusion_1,handoff_first,55.9,81,0,0,0,0,0,0,0,0.2718,0.3726,accepted,no major diversity concentration detected,1,local,0.002,0.047,2026-05-12 16:22:16
2026-05-12_2,20260512_naver_007_ppt트러스트센터설정으로보안오류해결하,naver,PPT 트러스트 센터 설정으로 보안 오류 해결하기 원인과 해결 방법,PPT 트러스트 센터 설정으로 보안 오류 해결하기,problem_solution,problem_solution_lead_3,standard,field_note,conclusion_3,scope_first,61.38,83,0,10,0,0,0,0,10,0.2985,0.3663,accepted,same rhythm slot as previous output,1,local,0.001,0.061,2026-05-12 16:22:17
2026-05-12_2,20260512_blogspot_kr_008_vpn초보자가입부터설정까지단계별사용법,blogspot_kr,VPN 초보자 가입부터 설정까지 단계별 사용법 선택 전에 확인해야 할 것,VPN 초보자 가입부터 설정까지 단계별 사용법,decision_guide,decision_guide_lead_1,standard,operator_brief,conclusion_1,handoff_first,61.41,87,0,10,12,8,0,0,30,0.3565,0.3838,accepted,same rhythm slot as previous output; style slot repeated in recent outputs; transition signature repeated,1,local,0.032,0.119,2026-05-12 16:22:17
2026-05-12_2,20260512_naver_005_git브랜치충돌발생시실무해결팁,naver,Git 브랜치 충돌 발생 시 실무 해결 팁 원인과 해결 방법,Git 브랜치 충돌 발생 시 실무 해결 팁,problem_solution,problem_solution_lead_3,standard,operator_brief,conclusion_3,handoff_first,60.8,83,0,0,0,0,0,0,0,0.5692,0.4884,similarity_retry,no major diversity concentration detected,1,local,0.002,0.03,2026-05-12 16:22:16
2026-05-12_2,20260512_naver_005_git브랜치충돌발생시실무해결팁,naver,Git 브랜치 충돌 발생 시 실무 해결 팁 원인과 해결 방법,Git 브랜치 충돌 발생 시 실무 해결 팁,comparison_guide,comparison_guide_lead_2,evidence_led,field_note,conclusion_1,review_first,55.64,81,0,0,12,0,8,0,20,0.1391,0.2153,accepted,style slot repeated in recent outputs; ending slot repeated,2,local,0.001,0.449,2026-05-12 16:22:17
2026-05-12_3,20260512_tistory_009_셀병합문제해결하고보고서만들기,tistory,셀 병합 문제 해결하고 보고서 만들기 원인과 해결 방법,셀 병합 문제 해결하고 보고서 만들기,problem_solution,problem_solution_lead_1,standard,field_note,conclusion_1,scope_first,61.26,87,0,0,0,0,0,0,0,0.4116,0.4023,accepted,no major diversity concentration detected,1,local,0.002,0.025,2026-05-12 16:22:45
2026-05-12_3,20260512_blogspot_kr_010_unityvscode자동완성안됨,blogspot_kr,unity vscode 자동완성 안됨 원인과 해결 방법,unity vscode 자동완성 안됨,problem_solution,problem_solution_lead_3,action_first,field_note,conclusion_3,handoff_first,62.44,83,15,0,12,0,0,0,27,0.355,0.3849,accepted,same structure slot as previous output; style slot repeated in recent outputs,1,local,0.001,0.039,2026-05-12 16:22:45
2026-05-12_3,20260512_blogspot_kr_012_워드기본적으로컴퓨터에저장안됨,blogspot_kr,워드 기본적 으로 컴퓨터에 저장 안됨 원인과 해결 방법,워드 기본적 으로 컴퓨터에 저장 안됨,problem_solution,problem_solution_lead_1,standard,field_note,conclusion_1,scope_first,61.42,87,25,0,12,8,0,0,45,0.3913,0.4206,accepted,same structure slot as previous output; structure slot concentrated in recent outputs; style slot repeated in recent outputs; transition signature repeated,1,local,0.063,0.169,2026-05-12 16:22:46
2026-05-12_3,20260512_blogspot_kr_011_윈도우11디스플레이설정오류,blogspot_kr,윈도우 11 디스플레이 설정 오류 원인과 해결 방법,윈도우 11 디스플레이 설정 오류,problem_solution,problem_solution_lead_1,action_first,field_note,conclusion_1,scope_first,60.63,87,25,10,12,8,0,0,55,0.5527,0.4355,similarity_retry,same structure slot as previous output; structure slot concentrated in recent outputs; same rhythm slot as previous output; style slot repeated in recent outputs; transition signature repeated,1,local,0.001,0.053,2026-05-12 16:22:45
2026-05-12_3,20260512_blogspot_kr_011_윈도우11디스플레이설정오류,blogspot_kr,윈도우 11 디스플레이 설정 오류 원인과 해결 방법,윈도우 11 디스플레이 설정 오류,comparison_guide,comparison_guide_lead_2,action_first,operator_brief,conclusion_2,rollback_first,55.05,73,0,0,0,0,0,0,0,0.4261,0.3804,accepted,no major diversity concentration detected,2,local,0.001,0.234,2026-05-12 16:22:46
2026-05-12_4,20260512_naver_002_원드라이브오류해결방법,naver,원드라이브 오류 해결방법 해결 전에 먼저 확인할 것,원드라이브 오류 해결방법,checklist_review,checklist_review_lead_2,standard,operator_brief,conclusion_2,scope_first,35.35,44,0,0,0,0,0,0,0,0.0921,0.1631,accepted,no major diversity concentration detected,1,local+claude+fix1,123.628,123.656,2026-05-12 17:34:04
2026-05-12_4,20260512_naver_001_아웃룩오류날때방법,naver,아웃룩 오류날 때 방법 문제를 줄이는 실무 처리 순서,아웃룩 오류날 때 방법,checklist_review,checklist_review_lead_1,action_first,field_note,conclusion_3,handoff_first,33.3,45,15,0,0,0,0,0,15,0.0955,0.1435,accepted,same structure slot as previous output,1,local+claude+fix1,138.927,138.941,2026-05-12 17:34:19
2026-05-12_4,20260512_naver_003_onedrive설정안열림,naver,onedrive 설정 안 열림 해결 전에 먼저 확인할 것,onedrive 설정 안 열림,workflow_playbook,workflow_playbook_lead_1,action_first,field_note,conclusion_1,scope_first,59.35,50,0,10,12,8,0,0,30,0.1091,0.1384,accepted,same rhythm slot as previous output; style slot repeated in recent outputs; transition signature repeated,1,local+claude+fix1,141.645,141.689,2026-05-12 17:34:22
2026-05-12_4,20260512_naver_004_onenote해결방법,naver,one note 해결방법 원인과 해결 방법,one note 해결방법,workflow_playbook,workflow_playbook_lead_3,standard,field_note,conclusion_3,scope_first,71.34,47,15,0,12,8,0,0,35,0.294,0.3239,accepted,same structure slot as previous output; style slot repeated in recent outputs; transition signature repeated,1,local+claude+fix1,144.167,144.226,2026-05-12 17:34:25
2026-05-12_1,20260512_naver_003_워드오류책갈피가정의되어있지않습니다,naver,워드 오류 책갈피가 정의되어 있지 않습니다 자주 생기는 이유와 점검 순서,워드 오류 책갈피가 정의되어 있지 않습니다,problem_solution,problem_solution_lead_3,standard,field_note,conclusion_3,scope_first,47.88,34,0,0,0,0,0,0,0,0.0301,0.0,accepted,no major diversity concentration detected,1,local+claude+fix1,115.394,115.437,2026-05-12 17:44:53
2026-05-12_1,20260512_naver_001_트렐로자동화규칙작동안함,naver,트렐로 자동화 규칙 작동 안함 원인과 해결 방법,트렐로 자동화 규칙 작동 안함,workflow_playbook,workflow_playbook_lead_1,standard,operator_brief,conclusion_1,handoff_first,49.01,34,0,10,0,0,0,0,10,0.0847,0.1402,accepted,same rhythm slot as previous output,1,local+claude+fix1,135.583,135.599,2026-05-12 17:45:13
2026-05-12_1,20260512_naver_004_git브랜치충돌발생시실무해결팁,naver,Git 브랜치 충돌 발생 시 실무 해결 팁 문제를 줄이는 실무 처리 순서,Git 브랜치 충돌 발생 시 실무 해결 팁,workflow_playbook,workflow_playbook_lead_2,standard,field_note,conclusion_2,scope_first,75.78,47,15,10,12,8,0,0,45,0.0885,0.1404,accepted,same structure slot as previous output; same rhythm slot as previous output; style slot repeated in recent outputs; transition signature repeated,1,local+claude+fix1,137.257,137.314,2026-05-12 17:45:15
2026-05-12_1,20260512_naver_002_microsoft365구독에문제가발생,naver,Microsoft 365 구독에 문제가 발생했으며 자주 생기는 이유와 점검 순서,Microsoft 365 구독에 문제가 발생했으며,decision_guide,decision_guide_lead_2,action_first,field_note,conclusion_2,scope_first,64.13,50,0,0,12,8,8,0,28,0.0913,0.1255,accepted,style slot repeated in recent outputs; transition signature repeated; ending slot repeated,1,local+claude+fix1,145.49,145.518,2026-05-12 17:45:23
2026-05-12_2,20260512_tistory_008_노션으로개인재정관리대시보드구축하기,tistory,노션으로 개인 재정 관리 대시보드 구축하기 실무에서 바로 쓰는 방법,노션으로 개인 재정 관리 대시보드 구축하기,checklist_review,checklist_review_lead_2,standard,field_note,conclusion_1,handoff_first,43.33,35,0,0,0,0,0,0,0,0.0543,0.0,accepted,no major diversity concentration detected,1,local+claude+fix1,105.543,105.613,2026-05-12 17:47:26
